id,value
id_0,18.04302636747588
id_1,17.054264358613825
id_2,24.30392961684266
id_3,13.927689570026207
id_4,21.01717635729645
id_5,26.150357903762206
id_6,14.226083568486544
id_7,24.13108017329686
id_8,22.48804313921191
id_9,30.16462384499785
id_10,34.96794808907299
id_11,32.44869977407089
id_12,35.95870070476866
id_13,36.60892238113471
id_14,42.72684984430427
id_15,48.64325409985428
id_16,53.130869487253854
id_17,52.0826979461863
id_18,38.56315787079849
id_19,30.551587627488562
id_20,29.76583185316756
id_21,17.154124254162777
id_22,1.229614896189453
id_23,11.927325406304204
id_24,34.997224165114275
id_25,15.17142133802139
id_26,18.407287685849155
id_27,13.68101092623779
id_28,21.08354758493874
id_29,23.40530368746224
id_30,12.813557106830615
id_31,16.404909264354643
id_32,22.190296238692348
id_33,23.18083769179433
id_34,21.67492079216734
id_35,26.646560003749123
id_36,34.729460853538754
id_37,49.58916659937559
id_38,38.38745040984968
id_39,47.066791107728655
id_40,41.879569294381604
id_41,43.4265685124275
id_42,32.2296512247001
id_43,33.257148526218444
id_44,41.21868828088702
id_45,33.7401812574429
id_46,25.49027456288506
id_47,25.114917056416672
id_48,23.614849033495098
id_49,21.81573125764085
id_50,15.32508412613137
id_51,18.89334838706613
id_52,17.2597212946184
id_53,30.279034326665165
id_54,22.33208685096227
id_55,20.852461261657858
id_56,28.741689524928333
id_57,34.62759854888549
id_58,45.8753639561481
id_59,43.89326857009445
id_60,43.8813895168975
id_61,46.23543915709549
id_62,55.767671356142415
id_63,48.540140215620504
id_64,47.829833137407036
id_65,44.73985663997983
id_66,47.3839766947999
id_67,49.18905681791861
id_68,47.38768280076458
id_69,38.66139835526374
id_70,25.187025393734665
id_71,26.198510285428043
id_72,33.471919730495244
id_73,40.74518902318809
id_74,31.830576558538787
id_75,30.119457199816544
id_76,32.10967056548703
id_77,45.10953121686229
id_78,31.836917023023236
id_79,20.175720622749665
id_80,24.681162261600605
id_81,34.58251981562977
id_82,31.384836977814786
id_83,24.67011218633288
id_84,25.1880826474545
id_85,30.358089711775882
id_86,30.91594141623416
id_87,30.674348754659142
id_88,27.863322601217106
id_89,26.59954193829822
id_90,17.566254457898456
id_91,10.953849161097196
id_92,19.102969998708474
id_93,19.68209907298504
id_94,11.513687510887976
id_95,20.528365470973135
id_96,21.31799048086277
id_97,22.710340700737213
id_98,27.486690873972137
id_99,28.97779232126675
id_100,30.352351561171744
id_101,32.99053988768755
id_102,43.8593242758879
id_103,44.11754519449309
id_104,48.23553861709322
id_105,38.744251692359455
id_106,40.805072442034565
id_107,35.72922589637329
id_108,28.863836012729216
id_109,45.02556611675043
id_110,34.72053844089099
id_111,32.47393268814862
id_112,25.682433660680047
id_113,16.56833102499982
id_114,28.181180826604546
id_115,18.318052820341073
id_116,14.722826339198482
id_117,8.702185257259965
id_118,7.839061390441499
id_119,17.50476282927997
id_120,17.784543413584757
id_121,24.32639033786704
id_122,16.045887889920746
id_123,21.78442519543225
id_124,22.71298606788258
id_125,34.264055452598676
id_126,48.12183395927522
id_127,57.59848640071708
id_128,47.806870844776554
id_129,37.77304858905438
id_130,46.2582189297915
id_131,43.25497245376539
id_132,37.02299086656596
id_133,34.52086126623405
id_134,33.01549536177957
id_135,31.398012950308434
id_136,26.3639643252452
id_137,24.463450466551762
id_138,29.66534017378339
id_139,27.21357520846444
id_140,31.08786065278027
id_141,29.135234612594424
id_142,25.600709937707155
id_143,31.105963180914696
id_144,28.507310513600892
id_145,34.6455369550321
id_146,36.065786694079726
id_147,31.139126080328236
id_148,33.78055884885701
id_149,43.393035649554236
id_150,34.030177065793445
id_151,35.39028534688738
id_152,48.16755488445826
id_153,44.952623432121875
id_154,32.89850600974637
id_155,41.83551640397921
id_156,41.74251396315968
id_157,41.77187280556301
id_158,44.302905716208805
id_159,49.92686042351484
id_160,55.160666678389816
id_161,55.32692868986062
id_162,48.667834665215445
id_163,39.05837050438037
id_164,31.000948184530728
id_165,27.026687097998874
id_166,39.46668010811274
id_167,35.83215158212312
id_168,36.298586896640764
id_169,25.12491446996242
id_170,16.989964727558377
id_171,25.559431283193284
id_172,18.70015932152282
id_173,27.942765012754318
id_174,27.56260179003659
id_175,22.243830521301753
id_176,37.81321068059677
id_177,58.312568834880565
id_178,60.268097000146014
id_179,51.11955818943919
id_180,41.903974552365725
id_181,50.33555061667921
id_182,44.371342132303795
id_183,52.25686646688746
id_184,52.06605323983641
id_185,46.76256363324911
id_186,32.405264571205166
id_187,28.274062823257424
id_188,27.275892861744506
id_189,62.22199664411292
id_190,58.73813852389359
id_191,54.92141224349193
id_192,58.089967099894324
id_193,58.83759634742613
id_194,52.00861134685864
id_195,55.80314555071457
id_196,39.539810263819035
id_197,43.45551702705351
id_198,24.76134762577956
id_199,22.366287625283476
id_200,27.114162832319998
id_201,28.155842354112565
id_202,31.310966098338163
id_203,33.39645289271068
id_204,37.14222919959944
id_205,26.24380665139767
id_206,29.366287551143323
id_207,27.55136932815683
id_208,28.820893896311446
id_209,30.413146686095462
id_210,31.05016586574928
id_211,41.479351487050536
id_212,22.310225213077473
id_213,40.28324301855046
id_214,26.28691414082319
id_215,29.37511285821901
id_216,21.093526857572662
id_217,17.092738597616826
id_218,8.135395178234884
id_219,18.440038082750853
id_220,16.430619310601156
id_221,12.767443249822284
id_222,15.149401588609985
id_223,7.485491463506431
id_224,4.937663505419394
id_225,8.022633639735385
id_226,20.393162533767985
id_227,18.38587172809678
id_228,29.05678498686575
id_229,17.140398507795982
id_230,11.047796936304211
